ID,CASENO,OFFENSE,CVLEGEND,CVDOW,Block_Location,BLKADDR,City,State,Day,Lat,Lon,timestamp
1896,17042510,BURGLARY AUTO,BURGLARY - VEHICLE,5,"1500 SHATTUCK AVE
Berkeley, CA
(37.880227, -122.26936)",1500 SHATTUCK AVE,Berkeley,CA,Friday,37.880227,-122.26936,21/07/2017 19:30
1897,17041723,ASSAULT/BATTERY MISD.,ASSAULT,1,"SHATTUCK AVENUE &amp; DWIGHT WAY
Berkeley, CA
(37.863959, -122.267432)",SHATTUCK AVENUE & DWIGHT WAY,Berkeley,CA,Monday,37.863959,-122.267432,17/07/2017 13:48
1898,17019608,DOMESTIC VIOLENCE,FAMILY OFFENSE,6,"800 HEARST AVE
Berkeley, CA
(37.869084, -122.299245)",800 HEARST AVE,Berkeley,CA,Saturday,37.869084,-122.299245,8/4/2017 16:33
1899,17035905,VEHICLE STOLEN,MOTOR VEHICLE THEFT,3,"1900 VINE ST
Berkeley, CA
(37.879679, -122.273638)",1900 VINE ST,Berkeley,CA,Wednesday,37.879679,-122.273638,21/06/2017 19:30
1900,17091134,THEFT MISD. (UNDER $950),LARCENY,5,"1800 CARLETON ST
Berkeley, CA
(37.860386, -122.273725)",1800 CARLETON ST,Berkeley,CA,Friday,37.860386,-122.273725,9/6/2017 23:00
1901,17033232,NARCOTICS,DRUG VIOLATION,6,"M L KING JR WAY &amp; CENTER ST
Berkeley, CA
",M L KING JR WAY & CENTER ST,Berkeley,CA,Saturday,,,10/6/2017 0:12
1902,17043644,THEFT FROM AUTO,LARCENY - FROM VEHICLE,3,"1600 FOURTH ST
Berkeley, CA
(37.873661, -122.301831)",1600 FOURTH ST,Berkeley,CA,Wednesday,37.873661,-122.301831,26/07/2017 18:00
1903,17014744,THEFT MISD. (UNDER $950),LARCENY,4,"2400 ASHBY AVE
Berkeley, CA
(37.856111, -122.260248)",2400 ASHBY AVE,Berkeley,CA,Thursday,37.856111,-122.260248,16/03/2017 19:31
1904,17021533,VANDALISM,VANDALISM,2,"2100 PRINCE ST
Berkeley, CA
(37.8531, -122.266131)",2100 PRINCE ST,Berkeley,CA,Tuesday,37.8531,-122.266131,18/04/2017 13:40
1905,17022430,FRAUD/FORGERY,FRAUD,6,"1500 WALNUT ST
Berkeley, CA
(37.880376, -122.268183)",1500 WALNUT ST,Berkeley,CA,Saturday,37.880376,-122.268183,22/04/2017 18:07
1906,17013743,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,6,"2500 DURANT AVE
Berkeley, CA
(37.867852, -122.258699)",2500 DURANT AVE,Berkeley,CA,Saturday,37.867852,-122.258699,11/3/2017 21:50
1907,17042512,THEFT MISD. (UNDER $950),LARCENY,2,"1001 FAIRGROUNDS DR
Berkeley, CA
",1001 FAIRGROUNDS DR,Berkeley,CA,Tuesday,,,4/7/2017 10:00
1908,17020508,ASSAULT/BATTERY MISD.,ASSAULT,4,"1600 UNIVERSITY AVE
Berkeley, CA
(37.870652, -122.27958)",1600 UNIVERSITY AVE,Berkeley,CA,Thursday,37.870652,-122.27958,13/04/2017 13:20
1909,17042637,BURGLARY AUTO,BURGLARY - VEHICLE,6,"VIRGINIA STREET &amp; FOURTH ST
Berkeley, CA
(37.871883, -122.301255)",VIRGINIA STREET & FOURTH ST,Berkeley,CA,Saturday,37.871883,-122.301255,22/07/2017 10:30
1910,17030842,DISTURBANCE,DISORDERLY CONDUCT,2,"2100 BANCROFT WAY
Berkeley, CA
(37.867601, -122.267718)",2100 BANCROFT WAY,Berkeley,CA,Tuesday,37.867601,-122.267718,30/05/2017 17:04
1911,17043433,ASSAULT/BATTERY MISD.,ASSAULT,3,"2000 SHATTUCK AVE
Berkeley, CA
(37.8719, -122.268389)",2000 SHATTUCK AVE,Berkeley,CA,Wednesday,37.8719,-122.268389,26/07/2017 9:06
1912,17091479,BURGLARY AUTO,BURGLARY - VEHICLE,0,"2300 FOURTH ST
Berkeley, CA
(37.862844, -122.298368)",2300 FOURTH ST,Berkeley,CA,Sunday,37.862844,-122.298368,30/07/2017 18:00
1913,17029480,BURGLARY AUTO,BURGLARY - VEHICLE,3,"2300 TELEGRAPH AVE
Berkeley, CA
(37.868714, -122.259189)",2300 TELEGRAPH AVE,Berkeley,CA,Wednesday,37.868714,-122.259189,24/05/2017 16:24
1914,17022654,THEFT FROM PERSON,LARCENY,0,"2100 SHATTUCK AVE
Berkeley, CA
(37.871167, -122.268285)",2100 SHATTUCK AVE,Berkeley,CA,Sunday,37.871167,-122.268285,23/04/2017 19:00
1915,17032471,DOMESTIC VIOLENCE,FAMILY OFFENSE,2,"1500 JULIA ST
Berkeley, CA
(37.854186, -122.279157)",1500 JULIA ST,Berkeley,CA,Tuesday,37.854186,-122.279157,6/6/2017 21:31
1916,17013735,BURGLARY AUTO,BURGLARY - VEHICLE,6,"BERKELEY WAY &amp; M L KING JR WAY
Berkeley, CA
",BERKELEY WAY & M L KING JR WAY,Berkeley,CA,Saturday,,,11/3/2017 20:45
1917,17042350,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,5,"2300 SIXTH ST
Berkeley, CA
(37.86313, -122.29611)",2300 SIXTH ST,Berkeley,CA,Friday,37.86313,-122.29611,21/07/2017 2:07
1918,17035128,THEFT MISD. (UNDER $950),LARCENY,5,"2900 CLAREMONT AVE
Berkeley, CA
(37.858993, -122.244574)",2900 CLAREMONT AVE,Berkeley,CA,Friday,37.858993,-122.244574,16/06/2017 20:00
1919,17022126,ASSAULT/BATTERY MISD.,ASSAULT,3,"900 SAN BENITO RD
Berkeley, CA
(37.892152, -122.269211)",900 SAN BENITO RD,Berkeley,CA,Wednesday,37.892152,-122.269211,12/4/2017 10:00
1920,17028307,BURGLARY AUTO,BURGLARY - VEHICLE,4,"200 MARINA BLVD
Berkeley, CA
(37.868667, -122.313656)",200 MARINA BLVD,Berkeley,CA,Thursday,37.868667,-122.313656,18/05/2017 23:00
1921,17015182,ROBBERY,ROBBERY,6,"3200 ADELINE ST
Berkeley, CA
(37.850345, -122.270911)",3200 ADELINE ST,Berkeley,CA,Saturday,37.850345,-122.270911,18/03/2017 16:30
1922,17023803,ASSAULT/BATTERY MISD.,ASSAULT,6,"2300 PIEDMONT AVE
Berkeley, CA
(37.869839, -122.252365)",2300 PIEDMONT AVE,Berkeley,CA,Saturday,37.869839,-122.252365,29/04/2017 1:00
1923,17091312,BURGLARY AUTO,BURGLARY - VEHICLE,6,"700 SPRUCE ST
Berkeley, CA
(37.898024, -122.269917)",700 SPRUCE ST,Berkeley,CA,Saturday,37.898024,-122.269917,8/7/2017 3:15
1924,17043205,ROBBERY,ROBBERY,2,"1800 SEVENTH ST
Berkeley, CA
(37.870538, -122.297407)",1800 SEVENTH ST,Berkeley,CA,Tuesday,37.870538,-122.297407,25/07/2017 7:10
1925,17042691,DISTURBANCE,DISORDERLY CONDUCT,6,"2200 SAN PABLO AVE
Berkeley, CA
(37.866231, -122.291299)",2200 SAN PABLO AVE,Berkeley,CA,Saturday,37.866231,-122.291299,22/07/2017 0:00
1926,17026291,VANDALISM,VANDALISM,2,"2300 TELEGRAPH AVE
Berkeley, CA
(37.868714, -122.259189)",2300 TELEGRAPH AVE,Berkeley,CA,Tuesday,37.868714,-122.259189,9/5/2017 22:00
1927,17090608,BURGLARY AUTO,BURGLARY - VEHICLE,4,"1000 PARKER ST
Berkeley, CA
(37.858892, -122.29127)",1000 PARKER ST,Berkeley,CA,Thursday,37.858892,-122.29127,23/03/2017 19:00
1928,17017468,MISSING ADULT,MISSING PERSON,3,"1500 LE ROY AVE
Berkeley, CA
(37.881776, -122.260421)",1500 LE ROY AVE,Berkeley,CA,Wednesday,37.881776,-122.260421,29/03/2017 4:00
1929,17013832,VEHICLE STOLEN,MOTOR VEHICLE THEFT,2,"ALCATRAZ AVENUE &amp; KING ST
Berkeley, CA
(37.848453, -122.273607)",ALCATRAZ AVENUE & KING ST,Berkeley,CA,Tuesday,37.848453,-122.273607,7/3/2017 8:00
1930,17022029,NARCOTICS,DRUG VIOLATION,4,"UNIVERSITY AVENUE &amp; W FRONTAGE RD
Berkeley, CA
(37.866265, -122.305592)",UNIVERSITY AVENUE & W FRONTAGE RD,Berkeley,CA,Thursday,37.866265,-122.305592,20/04/2017 20:01
1931,17022863,DISTURBANCE,DISORDERLY CONDUCT,1,"2000 SHATTUCK AVE
Berkeley, CA
(37.8719, -122.268389)",2000 SHATTUCK AVE,Berkeley,CA,Monday,37.8719,-122.268389,24/04/2017 14:48
1932,17041955,DISTURBANCE,DISORDERLY CONDUCT,3,"1900 FOURTH ST
Berkeley, CA
(37.868281, -122.300102)",1900 FOURTH ST,Berkeley,CA,Wednesday,37.868281,-122.300102,19/07/2017 12:45
1933,17045190,VEHICLE RECOVERED,RECOVERED VEHICLE,6,"1300 CURTIS ST
Berkeley, CA
(37.880891, -122.290189)",1300 CURTIS ST,Berkeley,CA,Saturday,37.880891,-122.290189,15/07/2017 12:00
1934,17023353,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,4,"2400 TELEGRAPH AVE
Berkeley, CA
(37.866761, -122.258779)",2400 TELEGRAPH AVE,Berkeley,CA,Thursday,37.866761,-122.258779,20/04/2017 4:55
